timestamp,filename,errorType,errorMessage,lineNumber,recoveryTimeMs,patchStatus,testResults.passed,testResults.message,testResults.tests.0.passed,testResults.tests.0.message,testResults.tests.0.function,aiProvider,backupCreated,patchApplied,errorDetails
2025-07-11T23:54:19.815Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3385,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T23:54:29.182Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,3111,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T23:54:36.189Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,2983,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T23:59:08.651Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2396,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T23:59:15.096Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2723,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T23:59:20.220Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2635,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T23:59:26.804Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,4101,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T23:59:33.357Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2830,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T23:59:41.262Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2667,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T23:59:46.791Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3401,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T23:59:53.091Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,2891,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T00:00:00.417Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,2935,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T14:15:28.907Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2514,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T14:16:13.910Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2901,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T14:16:27.112Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2727,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T14:24:02.819Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3572,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T14:24:32.840Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2931,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T14:24:44.184Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2934,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T14:24:53.124Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3872,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T14:25:00.839Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,3006,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T14:25:10.717Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3169,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T14:34:03.345Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2285,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T14:34:08.021Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2709,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T14:34:14.775Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2881,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T14:34:22.274Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3565,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T14:34:28.347Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2885,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T14:34:35.002Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,3083,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T14:34:41.887Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3733,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T14:34:53.250Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,2966,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T14:34:59.449Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3197,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T15:47:50.324Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2941,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T15:47:59.927Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,3301,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T15:48:05.891Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2910,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T15:48:13.135Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3465,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T15:48:18.778Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2930,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T15:48:24.284Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2830,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T15:48:32.537Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3451,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T15:48:38.214Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,2995,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T15:48:44.000Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3095,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T15:52:49.188Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2439,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T15:52:54.460Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2611,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T15:52:59.773Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,3017,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T15:53:05.258Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3489,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T15:53:09.950Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2812,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T15:53:14.485Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2901,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T15:53:19.465Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3524,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T15:53:24.507Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,2948,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T15:53:30.274Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3121,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T16:14:17.625Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2841,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T16:14:23.505Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,3003,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T16:14:27.785Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2790,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T16:14:32.964Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3512,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T16:14:37.717Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,3037,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T16:14:42.246Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2929,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T16:14:47.496Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3754,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T16:14:52.128Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,3014,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T16:14:56.855Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3151,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T16:42:51.335Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2528,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T16:42:55.886Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2696,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T16:43:00.308Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2845,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T16:43:05.622Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3574,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T16:43:10.607Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,3000,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T16:43:15.741Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2900,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T16:43:21.250Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3774,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T16:43:26.125Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,3016,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T16:43:30.829Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3016,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T17:14:30.387Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2472,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T17:14:35.913Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2602,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T17:14:40.545Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2781,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-12T17:14:46.304Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3673,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T17:14:51.706Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2942,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T17:14:56.232Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2873,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-12T17:15:01.290Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.md'",42,3568,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T17:15:06.289Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,3001,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T17:15:10.892Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3199,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-12T19:06:01.145Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,8932,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,lms_claude_haiku,true,true,
2025-07-12T19:07:33.635Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,9379,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,lms_claude_haiku,true,true,
2025-07-12T19:07:57.387Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,9499,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,lms_claude_haiku,true,true,
2025-07-12T19:08:16.815Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,14522,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,lms_claude_haiku,true,true,
2025-07-12T19:08:51.084Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,12579,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,lms_claude_haiku,true,true,
2025-07-12T19:09:12.195Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,12812,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,lms_claude_haiku,true,true,
2025-07-12T19:09:58.348Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,13192,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,lms_claude_haiku,true,true,
2025-07-12T19:10:38.386Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,12271,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,lms_claude_haiku,true,true,
2025-07-12T21:08:24.479Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,18075,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,lms_claude_haiku,true,true,
2025-07-12T21:11:52.448Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,8414,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,lms_claude_haiku,true,true,
2025-07-12T21:12:09.594Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,9237,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,lms_claude_haiku,true,true,
