errorType,aiProvider,filename,errorMessage,lineNumber,testResults.passed,testResults.message,testResults.tests.0.passed,testResults.tests.0.message,testResults.tests.0.function,backupCreated,patchApplied,errorDetails,recoveryTimeMs,timestamp,patchStatus
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15053.22765005261,2025-07-07 0:06:12,success
Reference error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,13015.454706194007,2025-07-07 0:06:15,failed
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13194,2025-07-07 0:07:01,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3207.6758792517226,2025-07-07 0:08:36,success
Syntax error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9780.635525858295,2025-07-07 0:09:12,success
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,19565.600783205202,2025-07-07 0:09:16,failed
Type error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,13539.245367053345,2025-07-07 0:10:00,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,14975.612747748715,2025-07-07 0:11:03,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15101.154225394157,2025-07-07 0:12:19,failed
Reference error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11839.392244348117,2025-07-07 0:12:24,failed
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15449.68979765065,2025-07-07 0:13:15,failed
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",13928.324955135013,2025-07-07 0:13:23,failed
Type error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10176.263870868088,2025-07-07 0:13:25,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16045.869884025944,2025-07-07 0:15:14,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12869.629541407392,2025-07-07 0:15:18,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3872,2025-07-07 0:16:32,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3080.921334408082,2025-07-07 0:17:00,success
Reference error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10225,2025-07-07 0:18:54,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",13912.227274600784,2025-07-07 0:21:51,failed
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2781.673315,2025-07-07 0:22:23,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,20036.863890379394,2025-07-07 0:23:19,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,18453.009912248537,2025-07-07 0:24:11,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3656.3305176749054,2025-07-07 0:24:37,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3161.0363801740373,2025-07-07 0:25:04,success
URI error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13055.510134387152,2025-07-07 0:26:42,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12919.893831613372,2025-07-07 0:29:26,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15039.497356673572,2025-07-07 0:30:54,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,17885.73850065195,2025-07-07 0:32:01,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13005.105133753432,2025-07-07 0:33:13,success
Reference error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9550,2025-07-07 0:33:24,failed
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,14436.169446509639,2025-07-07 0:35:00,failed
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15537.16466830175,2025-07-07 0:35:49,failed
Syntax error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,16242.084935656743,2025-07-07 0:37:38,success
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11874.944442322621,2025-07-07 0:38:19,failed
Invalid function/type,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16542.402233677672,2025-07-07 0:39:04,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,14052.454546658515,2025-07-07 0:39:23,success
Reference error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2285,2025-07-07 0:40:46,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15036.281560406916,2025-07-07 0:40:46,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,20153.35331314567,2025-07-07 0:41:30,success
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,20273.92700223187,2025-07-07 0:43:10,success
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3932.9783567869795,2025-07-07 0:43:50,success
Type error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11979.394566622026,2025-07-07 0:44:31,failed
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,18075,2025-07-07 0:45:01,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15825,2025-07-07 0:46:35,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,17355.611951594085,2025-07-07 0:47:16,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,18931.922689143932,2025-07-07 0:50:38,failed
Type error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9237,2025-07-07 0:50:55,success
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12470.870891785684,2025-07-07 0:52:08,failed
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15049.362506770067,2025-07-07 0:52:58,success
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3958.860024292017,2025-07-07 0:53:38,success
Syntax error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9671.687910204906,2025-07-07 0:54:22,success
Reference error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10421.771057223483,2025-07-07 0:54:26,success
Type error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10303.182300427025,2025-07-07 0:54:27,success
Range error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,2913.5267543506825,2025-07-07 0:55:00,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16546.98397500908,2025-07-07 0:58:36,failed
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3506.358064488424,2025-07-07 0:58:48,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,16595.78050133966,2025-07-07 1:01:31,failed
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16040.720908159983,2025-07-07 1:02:53,success
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16721.95426,2025-07-07 1:04:13,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12724.25464690446,2025-07-07 1:04:43,success
File system error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,FALSE,Tests failed,FALSE,"Error in FAQ function: Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.mds'",generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",20341.957775455947,2025-07-07 1:09:32,failed
Reference error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9659.642931272343,2025-07-07 1:11:06,success
Type error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11157.027027175338,2025-07-07 1:11:51,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12941.902463367298,2025-07-07 1:12:11,failed
Range error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3048.3868602364973,2025-07-07 1:12:41,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13048,2025-07-07 1:13:58,success
Reference error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10843.04973219477,2025-07-07 1:14:25,success
File system error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,,,,,,TRUE,FALSE,Failed to generate patch from AI,13583,2025-07-07 1:15:45,failed
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13766.626637232015,2025-07-07 1:16:36,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,14715.225154111205,2025-07-07 1:17:04,failed
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16299,2025-07-07 1:19:11,failed
Invalid function/type,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,18132,2025-07-07 1:20:13,success
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2763.551646054887,2025-07-07 1:21:38,success
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,3012.3205589882937,2025-07-07 1:21:56,success
Syntax error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,16143.932812909414,2025-07-07 1:22:45,failed
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2927.6101300329865,2025-07-07 1:23:01,success
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2847.5311134725325,2025-07-07 1:24:28,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12941.24272649535,2025-07-07 1:25:34,success
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2870.2043225195807,2025-07-07 1:26:03,success
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2696.3489705278757,2025-07-07 1:27:18,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16263.438265649376,2025-07-07 1:28:06,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15066.441201768632,2025-07-07 1:28:16,failed
